"According to George Miller, psychology could not participate in the cognitive revolution until it liberated itself from which theoretical framework?",Behaviorism
The behavioral revolution redefined experimental psychology by arguing that which specific type of evidence is the only objective basis for science?,Publicly observable behavioral evidence
"In the context of behaviorism, how was the concept of 'language' redefined for scientific study?",Verbal behavior
George Miller identifies which specific year as the 'moment of conception' for cognitive science?,1956
Which 1956 MIT symposium presentation by Noam Chomsky is credited with initiating the cognitive revolution in theoretical linguistics?,The public exposition of transformational generative grammar
"According to Miller (2003), which foundation's interest in bridging the gap between brain and mind led to the formal adoption of the name 'cognitive science' in 1976?",The Alfred P. Sloan Foundation
List the three disciplines George Miller considered 'central' to the interdisciplinary field of cognitive science in 1978.,"Psychology, linguistics, and computer science"
"In the 1978 'cognitive hexagon' model, which two disciplines are linked by the study of computational linguistics?",Computer science and linguistics
What is the historical significance of the 'Cognition Project' at Harvard founded in 1960 by George Miller and Jerome Bruner?,It was renamed the Center for Cognitive Studies and institutionalized the cognitive counter-revolution in psychology.
Why did George Miller eventually reject Claude Shannon's information theory as a complete model for psychological processes?,Neither the probabilities nor their logarithmic values shed light on the actual psychological processes responsible for them.
Define the 'mind-body problem' as described in the context of cognitive neuroscience.,The mystery of how physical operations of a concrete substance like the brain evoke the mental experiences of thought.
Which 17th-century philosopher is most associated with early scientific thinking on the connection between the mind and the body?,Rene Descartes
What is the primary function of dendrites in a neuron?,To conduct input signals to the cell body
Which part of the neuron is responsible for conducting electrical activity away from the cell body toward junctions with other cells?,The axon
How do neurons differ from a 'wired' network in terms of physical connectivity?,Neurons are independent units that communicate across gaps called synapses rather than being physically continuous.
"In the human nervous system, what role do neurotransmitters play when released into the synaptic gap?",They act as switches that either allow or prevent an electrical impulse on the other side of the gap.
A deficit of at least 80% of the cells producing which neurotransmitter is characteristic of Parkinson's disease?,Dopamine
An excess of the neurotransmitter dopamine is clinically associated with which thought disorder?,Schizophrenia
"Which major section of the brain controls automatic processes such as heart rate, breathing, and sleep cycles?",The hindbrain
Damage to which specific brain structure results in difficulties with balance and the coordination of voluntary movements?,The cerebellum
Which midbrain structure is responsible for producing the neurotransmitter dopamine?,The substantia nigra
The cerebral cortex is located in which major division of the brain?,The forebrain
What is the functional purpose of 'sulci' (wrinkles or valleys) in the human cortex?,To allow for increased surface area to be packed into the skull
What is the name of the giant collection of fibers that connects the right and left hemispheres of the brain?,The corpus callosum
"In 'split brain' patients, why are individuals typically unaware of their condition on a daily basis?",The areas creating conscious awareness reside in the left hemisphere and are cut off from the right hemisphere's processing.
Which hemisphere of the brain generally registers sensations originating from the left side of the body?,The right hemisphere
What specific language difficulty is often observed in patients with right hemisphere impairment?,"The inability to understand figurative language, jokes, sarcasm, or metaphors"
Concept: Localization of Function,"Definition: The hypothesis that different functions of thought are performed in specific, distinct locations in the brain."
Which 19th-century 'pseudoscience' correctly proposed localization of function but incorrectly claimed brain development could be measured by bumps on the skull?,Phrenology
Which lobe of the cortex is primarily associated with complex visual/touch perception and arithmetic?,The parietal lobe
Term: Attention,Definition: A set of cognitive processes that allow concentration on one set of events while ignoring others.
William James (1890) described the sensory environment at birth as a '_____'.,"blooming, buzzing confusion"
Mackworth's (1950) study using the 'Mackworth Clock' demonstrated that error rates in detection tasks increased significantly after how much time?,30 minutes
How does the 'pop-out' effect in preattentive processing differ from focused attentional processing?,"Preattentive processing examines all features at once and is effortless, while focused processing assesses features sequentially and with effort."
Which biological mechanism ensures that humans automatically pay attention to important changes or novel stimuli in the environment?,Orienting reflexes
What is 'habituation' in the context of attentional processing?,The process where a stimulus is no longer novel and thus fails to capture attention or trigger an orienting reflex.
"In the spotlight metaphor of attention, what happens to the clarity of information in the 'spill light' area?",Information is less easy to identify compared to the center of the spotlight.
Which brain circuit is activated to process information about the spatial location of objects?,The 'where' circuit
The 'what' circuit in the brain runs from the primary sensory cortex to which specific lobe?,The temporal lobe
What is the 'span of apprehension' as defined by cognitive psychologists?,The limit to how many items can be attended to at once without counting (subitizing).
The rapid labeling of small quantities of simultaneously presented items (usually up to four) is known as _____.,Subitizing
Why is sensory storage referred to as a 'buffer memory'?,It separates and hosts incoming stimuli long enough for the attentional system to identify and categorize them.
What is 'echoic storage'?,The auditory buffer of sensory storage.
Which visual phenomenon involves the temporary shutdown of visual processing during rapid eye movements?,Saccadic suppression
"In Sperling's (1960) research, what did the 'partial report procedure' reveal about the capacity of sensory memory?","Sensory memory has a nearly unlimited capacity, but information fades faster than it can be reported."
What is 'masking' in the context of sensory storage?,A phenomenon where a second stimulus event interferes with and displaces a previous event still held in the sensory buffer.
Why is sensory storage described as 'precategorical'?,"It stores raw sensory information before it has been identified or assigned a category (e.g., letter vs. number)."
"The ability to 'grab' one's name out of a loud, crowded room is known as the _____.",cocktail-party phenomenon
"In a 'shadowing task,' what is a participant required to do?",Repeat aloud a message heard in a specified ear (channel) while ignoring a different message in the other ear.
Compare 'early-selection' and 'late-selection' filters in attention.,"Early-selection filters focus on physical characteristics (e.g., volume), while late-selection filters focus on the meaning or relevance of the message."
Which theory suggests that the attentional system reduces the intensity of unattended messages rather than deleting them entirely?,Attenuation theory (Treisman)
How did the study by Corteen and Wood (1972) using galvanic skin response support late-selection theory?,"Participants showed physical reactions to shock-associated words presented in the unattended ear, indicating the words were processed for meaning."
