The field of evolutionary psychology treats the human brain as a collection of _____-specific adaptations rather than a general-purpose learning device.,Domain
Which 1872 work by Charles Darwin is considered the first true text of evolutionary psychology due to its focus on universal emotional expressions?,The Expression of the Emotions in Man and Animals
Term: Instinct Blindness,Definition: The phenomenon where evolved instincts operate so seamlessly that they remain invisible to conscious awareness.
"Konrad Lorenz developed the _____ model of motivation, suggesting internal drives build up until released by environmental stimuli.",Hydraulic
"The acronym WEIRD describes research samples that are Western, Educated, Industrialized, Rich, and _____.",Democratic
The theory of _____ evolution applies Darwinian principles like variation and selection to the transmission of information between individuals.,Cultural
"The _____ Modularity Hypothesis posits that the mind is composed of a multitude of specialized modules, similar to a Swiss Army knife.",Massive
What biological process did Konrad Lorenz identify in geese to show the interaction between genetic programming and environmental input during critical periods?,Imprinting
"Edward O. Wilson’s 1975 work, Sociobiology: The New Synthesis, identified the _____ as the primary unit of selection.",Gene
The 'Poverty of the Stimulus' argument for modularity suggests that the environment lacks enough information for a _____ processor to learn complex tasks like grammar.,General-purpose
The 'Santa Barbara School' of evolutionary psychology shifted the focus from manifest behavior to evolved _____ mechanisms.,Psychological (or Mental)
The practice of analyzing a trait's adaptive function without fully understanding its neurobiological mechanism is called the '_____ gambit'.,Phenotypic
Which SSSM assumption posits that the human mind is born as an empty vessel with no pre-existing content?,The Blank Slate
"Mismatch Theory posits that modern obesity is partly caused by ancestral preferences for sugar, salt, and fats in an environment of caloric _____.",Abundance
The critique of 'pan-adaptationism' targets the belief that _____ trait of an organism must be an adaptation designed by natural selection.,Every
The Environment of Evolutionary Adaptedness (EEA) refers primarily to the conditions faced by our _____ ancestors.,Hunter-gatherer
Gould and Lewontin's 1979 paper 'The Spandrels of San Marco' attacked the '_____ Paradigm' of pan-adaptationism.,Panglossian
Luxury consumption is often analyzed in EP as a signal of resource-holding potential and _____.,Status
"What concept, discussed by William James, suggests that human instincts are numerous but often operate unconsciously?",Instinct Blindness
David Buss's 1989 cross-cultural study found that men universally place a higher premium on physical attractiveness and youth as cues to _____.,Fertility (or Reproductive Value)
Massive Modularity: The 'Error Argument' suggests modularity is necessary because different adaptive domains have _____ requirements.,Contradictory
Life History Theory typically uses a 'fast-slow' continuum to describe individual differences in _____ timing.,Reproductive
Which emotion is theorized to influence moral judgment as part of the behavioral immune system?,Disgust
"In Ellis's two-tiered model of Life History Theory, what factor serves as the foundation that constrains maturation?",Energetic stress (calories)
The SSSM assumption of _____ suggests that all behaviors and attitudes are equally learnable without biological constraints.,Equipotentiality
The evolutionary mismatch between ancestral small-scale groups and modern _____ societies is linked to rising rates of depression.,Anonymous (or Urban)
Stephen Jay Gould and Richard Lewontin used the architectural term _____ to describe biological features that are non-adaptive side effects of other changes.,Spandrels
Darwin's introduction of _____ selection explained traits like the peacock's tail that appeared counterproductive to simple survival.,Sexual
The concept that 'nurture' consists of evolved developmental programs triggered by environmental input is a core argument against the _____ model.,Standard Social Science (SSSM)
