"In the context of skill acquisition, how is 'learning' defined in contrast to 'performance'?",Learning is the permanent modification of knowledge or skill that persists over time and across varied contexts.
"According to research from the Bjork Lab, what is the relationship between retrieval strength and storage strength during learning?",Conditions that maximize immediate retrieval strength often fail to support long-term storage strength.
What is the estimated rank-order stability of cognitive ability ($ho$) for a 20-year-old over a five-year interval?,$\rho = 0.76$
Which psychological traits are identified as among the most stable over the human lifespan according to longitudinal meta-analytic data?,"Fluid reasoning, working memory capacity, and processing speed."
What three levels of intelligence are differentiated within the Cattell-Horn-Carroll (CHC) model?,"General intelligence ($g$), crystallized intelligence ($Gc$), and fluid reasoning ($Gf$)."
How does the organization of strategic networks differ between experts and novices?,"Experts organize networks around underlying principles and causal schemes, while novices focus on superficial features."
What are the two primary components of metacognition necessary for autonomous learning?,Metacognitive monitoring (assessment of activity) and metacognitive control (regulation of activity).
"In the Ambrose and Lovett five-stage self-directed learning cycle, what is the primary objective of the 'Assessment' stage?",To understand the scope and demands of the learning task through requirements mapping.
What actionable mechanism is used during the 'Evaluation' stage of the self-directed learning cycle?,Self-assessment of prior knowledge and identification of skill gaps.
What is the intended objective of the 'Monitoring' stage in the self-directed learning cycle?,The real-time verification of understanding and tracking of progress.
How do metacognitive students utilize 'gap analysis' after completing a task?,They compare predicted performance with actual results and reflect on any discrepancies.
What is the function of an 'exam wrapper' in a metacognitive learning context?,It is a tool used to analyze preparation strategies and plan revisions for future performance attempts.
Define the 'illusion of knowing' as a metacognitive error.,It is a state of subjective overconfidence where one's perceived understanding exceeds objective performance.
Why is the illusion of knowing most prevalent in prospective judgments made immediately after learning?,"The information is still fresh in working memory, creating a false sense of mastery."
What strategy can autodidacts use to counteract the illusion of knowing during monitoring?,Switching to retrospective monitoring by evaluating performance after a significant delay.
"How does the format of testing (e.g., open-answer vs. multiple-choice) affect knowledge calibration?",Open-answer questions are more effective at calibrating true knowledge levels by eliminating recognition cues.
What is the defining characteristic of 'desirable difficulties' in learning science?,Tasks that require considerable effort and appear to slow short-term progress but enhance long-term performance.
Why is 'free recall' considered more effective for building storage strength than passive re-reading?,"It forces the brain to access knowledge from scratch, strengthening the neural path to that information."
"In the process of 'stepwise cueing', what is the purpose of providing partial hints?",To target medium-strength memories that require activation but are not yet accessible through free recall.
What occurs during the 'Targeted Review' phase of stepwise cueing?,The learner focuses exclusively on weak memories that were not retrieved during recall or hint phases.
How does the 'spacing effect' utilize forgetting to improve retention?,The effort required to retrieve fading information triggers deeper encoding and more durable storage.
What is the primary benefit of 'interleaving' different topics during a single study session?,It improves discriminative learning by forcing the learner to identify which strategy to apply to a specific problem.
"According to the Fitts and Posner model, what characterizes the 'Cognitive Stage' of skill acquisition?",High demand on attention and a primary focus on understanding basic rules.
"In the Fitts and Posner model, what happens to performance during the 'Autonomous Stage'?",The skill is performed with minimal conscious thought and high automaticity.
How does the Dreyfus Model describe a 'Novice' level of performance?,Performance is characterized by context-free rule following without an understanding of the overall situation.
What distinguishes an 'Expert' from a 'Competent' learner in the Dreyfus Model?,The expert has an intuitive grasp of situations and performs fluidly without reliance on rules.
Who pioneered the concept of 'Deliberate Practice' as the engine for skill acquisition?,K. Anders Ericsson.
What is the 'Zone of Proximal Development' in the context of deliberate practice?,"The area of task difficulty just beyond the learner's current reliable performance, between the comfort and panic zones."
Why is 'immediate feedback' a critical criterion for deliberate practice?,It allows the learner to perform successive refinements based on informative results of their actions.
What biological process involves oligodendrocytes wrapping axons to increase signal speed and efficiency?,Myelination.
