"In The Business Strategy Game (BSG), what are the four geographic market regions?","North America, Europe-Africa, Asia-Pacific, and Latin America."
"At the start of Year 11, what were your company's annual revenues and net earnings?","Revenues were $432.6 million and net earnings were $40 million, which is $2.00 per share."
Each decision period in BSG represents what length of time?,One year.
Your company starts with two production facilities located in which two regions?,North America and the Asia-Pacific region.
Operating facilities at overtime increases their annual assembly capability by what percentage?,20%.
What are the three distribution channels for accessing consumers of athletic footwear in BSG?,"Wholesale sales to retailers, online sales at the company’s website, and private-label sales to large multi-outlet retailers."
"To avoid channel conflict, your company's internet price should be at least what percentage above the wholesale price you charge retailers?",40%.
What is the projected annual growth in global demand for branded athletic footwear for Years 11-15?,7% to 9%.
What is the projected annual growth in global demand for private-label athletic footwear for Years 11-15?,11% to 13%.
"The International Footwear Federation (IFF) assigns a styling-quality rating, known as the _____ rating, to each company's footwear.",S/Q rating.
What are the five factors that determine a company's S/Q rating?,"Spending on new features/styling, percentage of superior materials, TQM/Six Sigma expenditures (current and cumulative), and worker training expenditures."
Unsold branded pairs carried over in inventory to the following year receive what penalty to their S/Q rating?,A 0.3-star reduction.
What are the two grades of materials available from suppliers for producing footwear?,Standard and superior.
The global market price of superior materials increases by 2% for each 1% that its worldwide usage exceeds what baseline percentage?,40%.
The prices of both standard and superior materials rise 1% for each 1% that global production levels exceed _____ of global production capability.,110%.
What is the shipping cost per pair for footwear sent to a distribution center within the same region as the production facility?,$1 per pair.
What is the shipping cost per pair for footwear sent to a distribution center in a different region from the production facility?,$2 per pair.
What are the three components that determine a company's 'image rating'?,"Its global average branded S/Q rating, its global average market share of total footwear sales, and its actions regarding corporate social responsibility."
"According to the Player's Guide, what are the three most important competitive factors affecting buyer brand preferences and market share?","Price, S/Q ratings, and the number of models/styles offered."
The impact of a competitive factor (like price or S/Q rating) depends on the size of the _____ on that factor.,differentials (or differences) among competitors.
Which BSG report should you review to see how your company’s competitive effort stacked up against the all-company averages?,The Competitive Intelligence Report.
Worker productivity gains top out altogether once incentive pay reaches what percentage of total compensation?,25%.
What are the four positive benefits of spending on 'best practices training' for the workforce?,"Curbing reject rates, improving S/Q ratings, curtailing materials waste/costs, and increasing worker productivity."
Name one of the nine factors that influence annual worker productivity.,"Annual base pay increases, incentive compensation emphasis, compensation relative to regional average, spending on best practices training, number of models assembled, supervisor salaries, worker-to-supervisor ratio, use of new vs. refurbished equipment, or installation of Production Improvement Option D."
"Switching production from one model to another incurs costs known as _____, which increase with the number of models produced.",production run set-up costs.
"What is the cost of installing new footwear-making equipment per 250,000 pairs of capability?",$5 million.
"What is the cost of installing refurbished footwear-making equipment per 250,000 pairs of capability?",$3.6 million.
"Compared to refurbished equipment, new equipment increases the S/Q rating by how many stars?",0.5 stars.
Production Improvement Option A reduces the current reject rate at a facility by what percentage?,50%.
Production Improvement Option D boosts worker productivity by what percentage through the purchase of robots?,50%.
How long does it take to complete the construction of new facility space?,One year.
The Board of Directors has authorized a worldwide total amount of facility space to accommodate _____ million pairs of footwear-making equipment.,21.
What is the annual inventory storage cost per pair for surplus inventory carried over from one year to the next?,$1.00 per pair.
"What fee is charged for order processing, packaging, and shipping on each pair sold to an online customer?",$12.50.
"How does BSG handle currency conversion for revenues received in Europe-Africa, Latin America, and Asia-Pacific?","Revenues in local currencies are converted to U.S. dollars for financial reporting, with adjustments for average annual exchange rate changes."
The first type of exchange rate adjustment in BSG applies to the production costs of footwear when it is what?,Shipped from a facility in one region to a distribution warehouse in a different region.
"The redemption rate for a $3 mail-in rebate is 15%, while the redemption rate for a $15 rebate is _____.",90%.
"For a company's private-label price offer to be considered, it must be at least how much below the upcoming-year average wholesale price for branded footwear in that region?",$10.00.
How are private-label contracts awarded to bidding companies?,Contracts are awarded starting with the lowest price offer in each region and ascending until regional demand is met or all qualified offers are accepted.
"In the case of identical offer prices for a private-label contract, the tie is broken by choosing the supplier with the highest prior-year _____.",global image rating/brand reputation.
"In BSG, celebrity endorsement contracts are signed with the company that does what?",Offers the most money per year for the contract.
The incremental sales impact of celebrity endorsements diminishes rapidly once the sum of their appeal indexes in a region reaches what value?,200.
Sustained and comprehensive spending on corporate social responsibility can enhance a company's image rating by as much as what percentage?,20%.
What are the three factors that determine a company's credit rating?,"The interest coverage ratio, the debt-to-assets ratio, and the default risk ratio."
"If a company overdraws its checking account, the bank automatically issues a 1-year 'overdraft' loan with what interest rate penalty?",A 2% adder to the current interest rate on 1-year loans.
What is the board's target for Earnings Per Share (EPS) in Year 20?,$10.00 per share.
What is the board's target for Return on Equity (ROE) in Year 20?,30%.
What is the board's target for stock price at the end of Year 20?,$250 per share.
The board expects the company to achieve at least what credit rating in Years 17-20?,An A rating.
What is the board's target for the company's image rating in Years 18-20?,80 or higher.
The 'Investor Expectations Standard' for scoring is based on meeting or beating the five annual _____.,performance targets.
The 'Best-In-Industry Standard' for scoring compares your company's performance to whom?,"The industry's best performer on each of the performance measures (EPS, ROE, stock price, image rating) and an A+ credit rating."
The BSG Player's Guide advises that following tips from prior participants is risky because outcomes are _____.,100% competition-based and specific to the actions of rivals in your industry.
What happens to the price of standard materials when the worldwide usage of superior materials increases above 40%?,The price of standard materials decreases by 0.5% for each 1% that superior material usage is above 40%.
A company can sign a maximum of how many celebrities to endorsement contracts in a given year?,Three.
What is the minimum annual contract offer required for a celebrity to consider an endorsement deal?,"$500,000 per year."
What are the four production improvement options available for facilities?,"Option A (reject rate reduction), Option B (setup cost reduction), Option C (S/Q rating increase), and Option D (productivity boost)."
The costs of celebrity endorsement contracts are allocated to the internet and wholesale segments based on their respective percentages of what?,The company's global branded sales.
"The number of retailers willing to carry a company's brand is based on four factors, including the company's regional market share, S/Q rating, retailer support, and what else?",The number of weeks it takes for retailers to receive their orders.
In what year do exchange rate adjustments first begin to take effect in the simulation?,Year 12 (there are no adjustments in Year 11).
What is the maximum exchange rate adjustment (positive or negative) that can occur in any one period?,20%.
"At the start of Year 11, the company's North America facility has 100% _____ equipment, while the Asia-Pacific facility has 100% _____ equipment.",new; refurbished.
Private-label production run set-up costs are what percentage of those for branded footwear?,25%.
What is the minimum number of private-label pairs that can be included in an offer to chain retailers?,"100,000 pairs."
The company cannot repurchase any shares of its stock if the stock price at the end of the prior year is lower than what amount?,$15.00 per share.
A company with a default risk ratio below _____ is automatically assigned 'high risk' status by credit rating agencies.,2.0.
"The company's stock price is a function of six factors, including revenue growth, EPS growth, ROE, credit rating, dividend growth, and _____.",management’s ability to consistently deliver good results (meet performance targets).
"If a company's sales volume is disappointingly low, whose responsibility is it to adjust the strategy and competitive efforts?",It is the management's responsibility.
What is the current annual tariff per pair on footwear shipped from the Asia-Pacific region to Latin America?,$10.00 per pair.
"In BSG, online sales of branded footwear are projected to grow from 15% of total branded sales to what percentage by Year 20?",25%.
